"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000226377",4.03694345072101,1.41135969117007,11.5085422149741,4.89631386828076e-08,0.00112223513860995,7.58811558091527
"ENSG00000204389",2.95804324409179,3.09602349536779,10.42697228501,1.51533862419133e-07,0.00173657806332326,6.81475598845183
"ENSG00000171421",2.71966954166846,1.31991859931106,9.85893089687083,2.85095476082735e-07,0.00217812943727209,6.36127535663247
"ENSG00000204388",2.86714226847394,2.85009608733701,9.40567904801519,4.82065244464123e-07,0.00276223385077942,5.97355428006808
"ENSG00000239808",3.27047755439327,-0.37085027721147,8.61236262410266,1.26896705596245e-06,0.00581694498453186,5.23465538467187
"ENSG00000170345",2.44055978673277,2.38835139268853,7.66962453554481,4.37883917952036e-06,0.0167271656657678,4.24638270198383
"ENSG00000198242",2.66993098639071,5.10019766449813,7.39809525293038,6.37815467724987e-06,0.0208839007432238,3.93759215992835
"ENSG00000163659",2.40691750064687,4.9652360431743,7.22028626568073,8.19982458313075e-06,0.0211133918808884,3.72921537897445
"ENSG00000205189",1.69786354057085,3.67371181142081,7.18904395323239,8.57343278126648e-06,0.0211133918808884,3.69208948157696
"ENSG00000277209",2.33839985602376,3.4057137719323,7.08617323756363,9.93689161220644e-06,0.0211133918808884,3.56875212189057
"ENSG00000259001",2.32999349040545,3.4126510819616,7.07262481298989,1.01329542185765e-05,0.0211133918808884,3.55238251867084
"ENSG00000246422",2.09154483494463,0.882704476147128,7.00824300980114,1.11224274154582e-05,0.0212438363635252,3.47419260847568
"ENSG00000229644",2.49289630392576,0.574782716016613,6.95226398528613,1.2066226085929e-05,0.0212736847607303,3.40566571393385
"ENSG00000228598",2.0485095510168,1.12428452415817,6.67167253681511,1.82625041351157e-05,0.0298983281983466,3.05449598466391
"ENSG00000086544",1.58619652607511,4.13240998931198,6.55424825049359,2.17887667623992e-05,0.033293235612946,2.90368810154761
"ENSG00000180667",1.98264133876428,1.23595549785709,6.40029097510742,2.75412391222983e-05,0.0394528250426923,2.70247748270032
"ENSG00000264577",2.00093259193996,2.66216238599124,6.27942021011612,3.3177979043824e-05,0.0444267101557162,2.54171782109828
"ENSG00000186480",2.10852674589905,4.21215361207621,6.23711426250821,3.54290570529734e-05,0.0444267101557162,2.48486737480794
"ENSG00000126524",1.71838365624194,2.40326896669419,6.2122237321109,3.68284246491539e-05,0.0444267101557162,2.45127801900126
"ENSG00000110700",2.37228716958876,5.1258633874817,6.17809646024861,3.88427659064946e-05,0.0445138097288428,2.40505306284162
"ENSG00000120837",1.52274972024764,2.31254846855056,6.09513667886499,4.42406108241529e-05,0.0482854666709326,2.2918601866833
"ENSG00000249870",1.60332419223208,3.47245611245646,6.06232215226527,4.65895197403897e-05,0.0485378087477151,2.24676392641053
